Rank,Team,Rating
1,Virginia Cavaliers,8.974424436090226
2,North Carolina Tar Heels,7.544436936090224
3,Duke Blue Devils,6.064737200143215
4,Louisville Cardinals,3.292770112781955
5,Florida State Seminoles,3.0436833154314353
6,Virginia Tech Hokies,2.450615037593985
7,Clemson Tigers,1.277879402453502
8,Syracuse Orange,-0.13372885338345886
9,North Carolina State Wolfpack,-0.5893042293233082
10,Miami (FL) Hurricanes,-3.716006672932331
11,Notre Dame Fighting Irish,-5.043977255639097
12,Boston College Eagles,-5.233764839730906
13,Pittsburgh Panthers,-5.568437781954887
14,Georgia Tech Yellow Jackets,-5.95049525128611
15,Wake Forest Demon Deacons,-9.130075385833003
